k,g,picture,brightness,quality_value
0.5,0.5,Einfarbig,214.43341924490801,-3
1.5,1,Bunt,103.440234921044,2.1000000000000001
0.5,1.25,Abstrakt,37.1927038842596,1.5900000000000001
1,1.25,Einfarbig,214.43341924490801,1.04
1.5,0.5,DunkelCanyon,64.577521075824905,-1.99
1.5,1.25,Abstrakt,37.1927038842596,-1.1299999999999999
1,1.25,Abstrakt,37.1927038842596,0
0.5,1.5,DunkelCanyon,64.577521075824905,-3
1,0.5,Abstrakt,37.1927038842596,-2.1200000000000001
1.5,1,DunkelCanyon,64.577521075824905,-1.0800000000000001
1,0.75,DunkelStadt,57.461932560403802,-1.6000000000000001
1,1.25,DunkelCanyon,64.577521075824905,0
0.5,0.75,DunkelRaum,84.542855590662498,-3
0.75,0.5,DunkelStadt,57.461932560403802,-3
1.5,1.25,DunkelStadt,57.461932560403802,-1.1100000000000001
0.75,1.25,Detailarm,195.98092322969899,-1.1000000000000001
1.25,1.25,Bunt,103.440234921044,0.91000000000000003
0.5,1,DunkelStadt,57.461932560403802,-1.25
1,1.5,Bunt,103.440234921044,-1.3999999999999999
1.25,1,Abstrakt,37.1927038842596,-1.3300000000000001
0.75,0.5,DunkelCanyon,64.577521075824905,-3
0.75,0.5,Bunt,103.440234921044,-3
1,1.5,DunkelCanyon,64.577521075824905,-1.6299999999999999
1.25,0.75,Bunt,103.440234921044,-1.8999999999999999
0.5,0.5,DunkelStadt,57.461932560403802,-3
0.5,1.5,Bunt,103.440234921044,-2.23
0.75,0.5,Einfarbig,214.43341924490801,-3
1.25,0.75,Abstrakt,37.1927038842596,1.6399999999999999
0.75,0.75,DunkelRaum,84.542855590662498,-2.1200000000000001
1.25,1.25,Detailarm,195.98092322969899,1.27
1.25,1,Bunt,103.440234921044,0
0.5,1.25,DunkelStadt,57.461932560403802,-2.5499999999999998
0.5,1.25,DunkelRaum,84.542855590662498,-3
0.5,1,Einfarbig,214.43341924490801,-3
0.5,1,Bunt,103.440234921044,-3
1.5,0.5,DunkelStadt,57.461932560403802,-2.5
1,0.75,DunkelCanyon,64.577521075824905,-1.79
0.75,1.25,DunkelCanyon,64.577521075824905,-2.1499999999999999
1.25,0.5,DunkelStadt,57.461932560403802,2.3399999999999999
1,0.5,DunkelCanyon,64.577521075824905,-2.0299999999999998
0.75,1.25,Bunt,103.440234921044,-2.1000000000000001
0.5,1,DunkelRaum,84.542855590662498,-3
0.5,1.5,DunkelStadt,57.461932560403802,-3
1.5,0.5,Abstrakt,37.1927038842596,-1.5700000000000001
0.5,0.75,Detailarm,195.98092322969899,-3
1.5,0.5,DunkelRaum,84.542855590662498,-1.1399999999999999
1,1.25,Detailarm,195.98092322969899,1.04
0.5,1.5,Abstrakt,37.1927038842596,-1.0900000000000001
1.25,1.25,DunkelRaum,84.542855590662498,-2.1400000000000001
0.5,0.5,Bunt,103.440234921044,-3
0.75,0.5,DunkelRaum,84.542855590662498,-1.1399999999999999
1.5,1.5,Abstrakt,37.1927038842596,-1.9199999999999999
0.75,1.5,DunkelRaum,84.542855590662498,-3
1.25,0.5,DunkelCanyon,64.577521075824905,-2.04
1,0.75,Bunt,103.440234921044,0
1.25,0.75,DunkelRaum,84.542855590662498,-1.1100000000000001
1.25,0.75,DunkelCanyon,64.577521075824905,1.0700000000000001
0.75,1,Abstrakt,37.1927038842596,-1.98
1.25,1.5,Bunt,103.440234921044,-2.4100000000000001
1.25,1,DunkelCanyon,64.577521075824905,1.0600000000000001
1,0.75,Einfarbig,214.43341924490801,-2.1299999999999999
0.75,1,Einfarbig,214.43341924490801,-2.25
1.25,1,DunkelRaum,84.542855590662498,-2.8599999999999999
1.25,0.5,Einfarbig,214.43341924490801,1.1200000000000001
1.5,1.25,Detailarm,195.98092322969899,-2
1.25,1.5,DunkelRaum,84.542855590662498,-1
1.5,1,Detailarm,195.98092322969899,-0.97999999999999998
1.25,1.25,DunkelStadt,57.461932560403802,-0.91000000000000003
0.75,0.5,Abstrakt,37.1927038842596,-1.3400000000000001
0.75,0.75,Bunt,103.440234921044,-1.8600000000000001
0.75,1,DunkelCanyon,64.577521075824905,-1.9199999999999999
0.5,0.75,Einfarbig,214.43341924490801,-3
0.75,1,DunkelStadt,57.461932560403802,-1.8
1.5,0.75,Bunt,103.440234921044,-3
0.5,1,Abstrakt,37.1927038842596,-2.1600000000000001
1.25,1.5,DunkelStadt,57.461932560403802,-3
1.25,0.75,Einfarbig,214.43341924490801,0
1.5,1.5,DunkelStadt,57.461932560403802,-3
1.5,1,DunkelStadt,57.461932560403802,-1.24
0.5,1,Detailarm,195.98092322969899,-2.9700000000000002
1,0.75,Abstrakt,37.1927038842596,2.04
1,0.5,DunkelStadt,57.461932560403802,-3
0.5,1.25,Einfarbig,214.43341924490801,-3
1,1.25,DunkelRaum,84.542855590662498,-1.6200000000000001
0.5,0.5,DunkelCanyon,64.577521075824905,-3
0.75,1.5,DunkelCanyon,64.577521075824905,-2.1299999999999999
1.25,1.5,Detailarm,195.98092322969899,-2.2400000000000002
0.5,0.5,Abstrakt,37.1927038842596,-2.1899999999999999
1.5,0.75,DunkelCanyon,64.577521075824905,2.3500000000000001
0.5,0.5,DunkelRaum,84.542855590662498,-3
1.25,0.5,Bunt,103.440234921044,1.8899999999999999
1.5,0.75,Detailarm,195.98092322969899,1.9099999999999999
0.5,1.5,Detailarm,195.98092322969899,-3
1,1.25,Bunt,103.440234921044,1.22
0.75,0.5,Detailarm,195.98092322969899,-3
0.75,0.75,DunkelStadt,57.461932560403802,1.0600000000000001
1.5,1.25,DunkelCanyon,64.577521075824905,-3
1.25,1.5,Abstrakt,37.1927038842596,-2.1000000000000001
1.5,1,DunkelRaum,84.542855590662498,-1.0900000000000001
0.75,1.25,DunkelRaum,84.542855590662498,0
0.75,0.75,Abstrakt,37.1927038842596,1.1299999999999999
1,0.75,Detailarm,195.98092322969899,0
1.25,1,DunkelStadt,57.461932560403802,0
0.5,1.25,Bunt,103.440234921044,-1.8899999999999999
1.5,1.5,DunkelRaum,84.542855590662498,-3
1.5,1.5,Einfarbig,214.43341924490801,-1.1499999999999999
1.25,1.25,Abstrakt,37.1927038842596,-1.3300000000000001
0.75,1,Bunt,103.440234921044,2.0099999999999998
1.5,1.5,Detailarm,195.98092322969899,-2.27
1,0.5,Detailarm,195.98092322969899,-3
1,1.5,DunkelStadt,57.461932560403802,-1
1.5,1.5,Bunt,103.440234921044,-3
0.5,1.5,Einfarbig,214.43341924490801,-2.0600000000000001
0.75,0.75,DunkelCanyon,64.577521075824905,-1.97
1,0.5,Bunt,103.440234921044,-0.96999999999999997
1.25,0.75,Detailarm,195.98092322969899,0
1,1.5,Abstrakt,37.1927038842596,-1.1399999999999999
1.5,0.75,DunkelStadt,57.461932560403802,1.1100000000000001
1.5,0.5,Detailarm,195.98092322969899,-1.0900000000000001
1,0.5,DunkelRaum,84.542855590662498,3
